business_name,business_id,snapshot_at,creative_id,name,format,age_days,spend,purchases,purchase_value,impressions,link_clicks,roas,cpa,ctr,bench_roas,bench_cpa,bench_reliability,fatigue_status,frequency,economics_status,target_roas,breakeven_roas,deploy_compat,truth_state,operator_disposition,v1_primary_action,v1_lifecycle_state,v1_legacy_action,v1_confidence,v1_score
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_bzfqye,WallArtCatalog,catalog,31,2310.73,46,7369.29,1157351,25030,3.19,50.23,2.16,,,,watch,,guarded,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,61
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_gav4ek,WoodenWallArtCatalog,catalog,31,1651.36,57,8746.48,627985,12136,5.3,28.97,1.93,,,,fatigued,,eligible,3.5,2.7,compatible,live_confident,standard,refresh_replace,fatigued_winner,pause,0.72,66
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_11qthjh,Catalog New Collection,catalog,31,1553.19,36,5885.28,386089,8906,3.79,43.14,2.31,,,,fatigued,,eligible,3.5,2.7,compatible,live_confident,standard,refresh_replace,fatigued_winner,pause,0.72,72
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_kgfoui,A misbaha,video,31,838.24,19,2942.82,86793,2826,3.51,44.12,3.26,,,,none,,eligible,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,70
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_7o6ry1,Transforming a house,video,31,830.76,25,7909.47,160435,3116,9.52,33.23,1.94,,,,none,,eligible,3.5,2.7,limited,live_confident,protected_watchlist,hold_no_touch,stable_winner,watch,0.66,84
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_zri7ic,Every beautiful,video,31,478.65,8,1104.64,32872,762,2.31,59.83,2.32,,,,none,,blocked,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,78
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_1qxpvdx,decorista_93,video,31,434.36,19,3410.65,48827,703,7.85,22.86,1.44,,,,watch,,eligible,3.5,2.7,limited,live_confident,protected_watchlist,hold_no_touch,stable_winner,watch,0.66,77
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_tah2d0,New 2026 Collection,video,31,433.73,13,1416.73,57779,385,3.27,33.36,0.67,,,,watch,,guarded,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,63
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_15m2a6d,Since I hung,video,31,373.21,6,860.07,49280,796,2.3,62.2,1.62,,,,fatigued,,blocked,3.5,2.7,compatible,live_confident,standard,refresh_replace,fatigued_winner,pause,0.72,44
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_1cm23eg,julia_julia386,video,31,279.67,0,0,90876,148,0,0,0.16,,,,none,,blocked,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.54,68
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_1fn7p9h,A prayer niche,video,31,274.95,7,1081.77,66408,1179,3.93,39.28,1.78,,,,none,,eligible,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,78
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_nizzxl,لا للمحراب في البيوت!!,video,31,168.35,0,0,46146,103,0,0,0.22,,,,none,,blocked,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.54,64
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_mvouqb,The heart finds,video,31,145.02,2,306.03,19796,159,2.11,72.51,0.8,,,,fatigued,,blocked,3.5,2.7,compatible,live_confident,standard,refresh_replace,fatigued_winner,pause,0.5,43
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_1nu7pbr,Our hearts are,video,31,140.03,0,0,97602,167,0,0,0.17,,,,none,,blocked,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,64
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_1jkih46,nina_deko_germany,video,31,129.43,3,387.74,6531,225,3,43.14,3.45,,,,watch,,guarded,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.56,60
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_lusk5,Cherish every,image,31,111.02,3,544.22,25173,162,4.9,37.01,0.64,,,,fatigued,,blocked,3.5,2.7,compatible,live_confident,standard,refresh_replace,fatigued_winner,pause,0.54,57
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_tzeupz,A stunning Islamic,video,31,100.83,1,73,7123,175,0.72,100.83,2.46,,,,none,,blocked,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,61
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_6yakbd,Set up my,video,31,97.6,0,0,5598,158,0,0,2.82,,,,none,,blocked,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,70
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_oh3fxx,PrayerEssentialsCatalog,catalog,31,88.79,0,0,5280,61,0,0,1.16,,,,fatigued,,blocked,3.5,2.7,compatible,live_confident,standard,refresh_replace,fatigued_winner,pause,0.5,44
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_mkkyju,Glowing lanterns,video,31,63.99,1,511.59,28245,728,7.99,63.99,2.58,,,,fatigued,,blocked,3.5,2.7,compatible,live_confident,standard,refresh_replace,fatigued_winner,pause,0.5,55
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_164v2ds,More than,video,31,58.32,0,0,4103,64,0,0,1.56,,,,none,,blocked,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,64
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_1uqggii,It added meaning,video,31,46.82,0,0,2912,51,0,0,1.75,,,,none,,blocked,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,64
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_1gkgji3,Iconic beauty,video,31,39.07,0,0,8394,104,0,0,1.24,,,,none,,blocked,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,64
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_1m3nv5p,A solid foundation,image,31,33.8,1,103.53,2743,30,3.06,33.8,1.09,,,,none,,blocked,3.5,2.7,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,83
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_ruy649,Decorating the,video,31,30.45,0,0,1974,56,0,0,2.84,,,,none,,blocked,3.5,2.7,limited,inactive_or_immaterial,archive_only,keep_in_test,validating,test_more,0.44,70
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_r14rly,modern.cave,video,31,27.32,0,0,1653,16,0,0,0.97,,,,none,,blocked,3.5,2.7,limited,degraded_missing_truth,monitor_low_truth,keep_in_test,validating,test_more,0.44,64
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_bxvoy6,mum2boys_style,video,31,26.46,0,0,1566,20,0,0,1.28,,,,none,,blocked,3.5,2.7,limited,degraded_missing_truth,monitor_low_truth,keep_in_test,validating,test_more,0.44,64
IwaStore,f8a3b5ac-588c-462f-8702-11cd24ff3cd2,2026-05-01 20:30:50.139+00,creative_1x0u7yl,Beautiful gatherings,video,31,25.12,2,156.31,5591,67,6.22,12.56,1.2,,,,fatigued,,blocked,3.5,2.7,compatible,live_confident,standard,refresh_replace,fatigued_winner,pause,0.5,66
